name,coordinates_latitude,coordinates_longitude,url
OO Tea,32.83338,-117.16081,https://www.yelp.com/biz/oo-tea-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Camellia Rd Tea Bar,32.832212,-117.146863,https://www.yelp.com/biz/camellia-rd-tea-bar-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Boba Bar and Desserts,32.83191741,-117.1555005,https://www.yelp.com/biz/boba-bar-and-desserts-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Tasty Pot,32.82667,-117.15579,https://www.yelp.com/biz/tasty-pot-san-diego-4?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Gotcha Tea,32.83067,-117.13883,https://www.yelp.com/biz/gotcha-tea-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
SD Boba Tea - San Diego Boba Tea Cafe,32.6773349,-117.0950765,https://www.yelp.com/biz/sd-boba-tea-san-diego-boba-tea-cafe-national-city-14?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
55 Thai Kitchen,32.71564,-117.13795,https://www.yelp.com/biz/55-thai-kitchen-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
It's Boba Time,32.81903614,-117.1553033,https://www.yelp.com/biz/its-boba-time-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
-21°C Snowflake,32.82848802,-117.1538174,https://www.yelp.com/biz/21-c-snowflake-san-diego-3?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
M.I.Tea Express,32.83136449,-117.1542869,https://www.yelp.com/biz/m-i-tea-express-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Infini Tea,32.82675815,-117.1558011,https://www.yelp.com/biz/infini-tea-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Happy Lemon,32.82473,-117.15458,https://www.yelp.com/biz/happy-lemon-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
"Wahine Kai Shave Ice, Kona Coffee and Tea Station",32.93596419,-117.1012706,https://www.yelp.com/biz/wahine-kai-shave-ice-kona-coffee-and-tea-station-san-diego-12?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Bale French Sandwiches,32.9173849,-117.1227156,https://www.yelp.com/biz/bale-french-sandwiches-san-diego-5?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Kung Fu Tea,32.8300915,-117.1530821,https://www.yelp.com/biz/kung-fu-tea-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Trinitea Tea,32.80339813,-117.0106583,https://www.yelp.com/biz/trinitea-tea-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Kung Fu Tea - Santee,32.838088,-116.989825,https://www.yelp.com/biz/kung-fu-tea-santee-santee?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Boba Bar and Desserts,32.82453268,-117.15459,https://www.yelp.com/biz/boba-bar-and-desserts-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Serenitea,33.13564,-117.18629,https://www.yelp.com/biz/serenitea-san-marcos?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Tasty Pot,32.91705541,-117.1234202,https://www.yelp.com/biz/tasty-pot-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
OO Tea,32.83338,-117.16081,https://www.yelp.com/biz/oo-tea-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Camellia Rd Tea Bar,32.832212,-117.146863,https://www.yelp.com/biz/camellia-rd-tea-bar-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Boba Bar and Desserts,32.83191741,-117.1555005,https://www.yelp.com/biz/boba-bar-and-desserts-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Tasty Pot,32.82667,-117.15579,https://www.yelp.com/biz/tasty-pot-san-diego-4?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Gotcha Tea,32.83067,-117.13883,https://www.yelp.com/biz/gotcha-tea-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
SD Boba Tea - San Diego Boba Tea Cafe,32.6773349,-117.0950765,https://www.yelp.com/biz/sd-boba-tea-san-diego-boba-tea-cafe-national-city-14?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
55 Thai Kitchen,32.71564,-117.13795,https://www.yelp.com/biz/55-thai-kitchen-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
It's Boba Time,32.81903614,-117.1553033,https://www.yelp.com/biz/its-boba-time-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
-21°C Snowflake,32.82848802,-117.1538174,https://www.yelp.com/biz/21-c-snowflake-san-diego-3?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
M.I.Tea Express,32.83136449,-117.1542869,https://www.yelp.com/biz/m-i-tea-express-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Infini Tea,32.82675815,-117.1558011,https://www.yelp.com/biz/infini-tea-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Happy Lemon,32.82473,-117.15458,https://www.yelp.com/biz/happy-lemon-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
"Wahine Kai Shave Ice, Kona Coffee and Tea Station",32.93596419,-117.1012706,https://www.yelp.com/biz/wahine-kai-shave-ice-kona-coffee-and-tea-station-san-diego-12?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Bale French Sandwiches,32.9173849,-117.1227156,https://www.yelp.com/biz/bale-french-sandwiches-san-diego-5?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Kung Fu Tea,32.8300915,-117.1530821,https://www.yelp.com/biz/kung-fu-tea-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Trinitea Tea,32.80339813,-117.0106583,https://www.yelp.com/biz/trinitea-tea-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Kung Fu Tea - Santee,32.838088,-116.989825,https://www.yelp.com/biz/kung-fu-tea-santee-santee?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Boba Bar and Desserts,32.82453268,-117.15459,https://www.yelp.com/biz/boba-bar-and-desserts-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Serenitea,33.13564,-117.18629,https://www.yelp.com/biz/serenitea-san-marcos?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Tasty Pot,32.91705541,-117.1234202,https://www.yelp.com/biz/tasty-pot-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
OO Tea,32.83338,-117.16081,https://www.yelp.com/biz/oo-tea-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Camellia Rd Tea Bar,32.832212,-117.146863,https://www.yelp.com/biz/camellia-rd-tea-bar-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Boba Bar and Desserts,32.83191741,-117.1555005,https://www.yelp.com/biz/boba-bar-and-desserts-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Tasty Pot,32.82667,-117.15579,https://www.yelp.com/biz/tasty-pot-san-diego-4?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Gotcha Tea,32.83067,-117.13883,https://www.yelp.com/biz/gotcha-tea-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
SD Boba Tea - San Diego Boba Tea Cafe,32.6773349,-117.0950765,https://www.yelp.com/biz/sd-boba-tea-san-diego-boba-tea-cafe-national-city-14?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
55 Thai Kitchen,32.71564,-117.13795,https://www.yelp.com/biz/55-thai-kitchen-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
It's Boba Time,32.81903614,-117.1553033,https://www.yelp.com/biz/its-boba-time-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
-21°C Snowflake,32.82848802,-117.1538174,https://www.yelp.com/biz/21-c-snowflake-san-diego-3?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
M.I.Tea Express,32.83136449,-117.1542869,https://www.yelp.com/biz/m-i-tea-express-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Infini Tea,32.82675815,-117.1558011,https://www.yelp.com/biz/infini-tea-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Happy Lemon,32.82473,-117.15458,https://www.yelp.com/biz/happy-lemon-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
One2Go Thai Kitchen,33.04923,-117.25926,https://www.yelp.com/biz/one2go-thai-kitchen-encinitas-3?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Serenitea,33.13564,-117.18629,https://www.yelp.com/biz/serenitea-san-marcos?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Kung Fu Tea,32.8300915,-117.1530821,https://www.yelp.com/biz/kung-fu-tea-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Boba Bar and Desserts,32.82453268,-117.15459,https://www.yelp.com/biz/boba-bar-and-desserts-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
"Wahine Kai Shave Ice, Kona Coffee and Tea Station",32.93596419,-117.1012706,https://www.yelp.com/biz/wahine-kai-shave-ice-kona-coffee-and-tea-station-san-diego-12?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Bale French Sandwiches,32.9173849,-117.1227156,https://www.yelp.com/biz/bale-french-sandwiches-san-diego-5?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
ND Banh Mi,33.20786052,-117.2865716,https://www.yelp.com/biz/nd-banh-mi-oceanside-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Fruittitude,32.84471504,-117.2736738,https://www.yelp.com/biz/fruittitude-la-jolla-3?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
OO Tea,32.83338,-117.16081,https://www.yelp.com/biz/oo-tea-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Boba Bar and Desserts,32.83191741,-117.1555005,https://www.yelp.com/biz/boba-bar-and-desserts-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Camellia Rd Tea Bar,32.832212,-117.146863,https://www.yelp.com/biz/camellia-rd-tea-bar-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Tasty Pot,32.82667,-117.15579,https://www.yelp.com/biz/tasty-pot-san-diego-4?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Gotcha Tea,32.83067,-117.13883,https://www.yelp.com/biz/gotcha-tea-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
It's Boba Time,32.81903614,-117.1553033,https://www.yelp.com/biz/its-boba-time-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Tasty Pot,32.91705541,-117.1234202,https://www.yelp.com/biz/tasty-pot-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
55 Thai Kitchen,32.71564,-117.13795,https://www.yelp.com/biz/55-thai-kitchen-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
-21°C Snowflake,32.82848802,-117.1538174,https://www.yelp.com/biz/21-c-snowflake-san-diego-3?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
M.I.Tea Express,32.83136449,-117.1542869,https://www.yelp.com/biz/m-i-tea-express-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Infini Tea,32.82675815,-117.1558011,https://www.yelp.com/biz/infini-tea-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Happy Lemon,32.82473,-117.15458,https://www.yelp.com/biz/happy-lemon-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
"Wahine Kai Shave Ice, Kona Coffee and Tea Station",32.93596419,-117.1012706,https://www.yelp.com/biz/wahine-kai-shave-ice-kona-coffee-and-tea-station-san-diego-12?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Bale French Sandwiches,32.9173849,-117.1227156,https://www.yelp.com/biz/bale-french-sandwiches-san-diego-5?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Kung Fu Tea,32.8300915,-117.1530821,https://www.yelp.com/biz/kung-fu-tea-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Trinitea Tea,32.80339813,-117.0106583,https://www.yelp.com/biz/trinitea-tea-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Kung Fu Tea - Santee,32.838088,-116.989825,https://www.yelp.com/biz/kung-fu-tea-santee-santee?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Boba Bar and Desserts,32.82453268,-117.15459,https://www.yelp.com/biz/boba-bar-and-desserts-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Serenitea,33.13564,-117.18629,https://www.yelp.com/biz/serenitea-san-marcos?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Tasty Pot,32.91705541,-117.1234202,https://www.yelp.com/biz/tasty-pot-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
OO Tea,32.83338,-117.16081,https://www.yelp.com/biz/oo-tea-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Camellia Rd Tea Bar,32.832212,-117.146863,https://www.yelp.com/biz/camellia-rd-tea-bar-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Boba Bar and Desserts,32.83191741,-117.1555005,https://www.yelp.com/biz/boba-bar-and-desserts-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Tasty Pot,32.82667,-117.15579,https://www.yelp.com/biz/tasty-pot-san-diego-4?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Gotcha Tea,32.83067,-117.13883,https://www.yelp.com/biz/gotcha-tea-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
SD Boba Tea - San Diego Boba Tea Cafe,32.6773349,-117.0950765,https://www.yelp.com/biz/sd-boba-tea-san-diego-boba-tea-cafe-national-city-14?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
55 Thai Kitchen,32.71564,-117.13795,https://www.yelp.com/biz/55-thai-kitchen-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
It's Boba Time,32.81903614,-117.1553033,https://www.yelp.com/biz/its-boba-time-san-diego?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
-21°C Snowflake,32.82848802,-117.1538174,https://www.yelp.com/biz/21-c-snowflake-san-diego-3?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
M.I.Tea Express,32.83136449,-117.1542869,https://www.yelp.com/biz/m-i-tea-express-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Infini Tea,32.82675815,-117.1558011,https://www.yelp.com/biz/infini-tea-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Happy Lemon,32.82473,-117.15458,https://www.yelp.com/biz/happy-lemon-san-diego-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Serenitea,33.13564,-117.18629,https://www.yelp.com/biz/serenitea-san-marcos?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
One2Go Thai Kitchen,33.04923,-117.25926,https://www.yelp.com/biz/one2go-thai-kitchen-encinitas-3?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Boba Hut And Deli,33.16585,-117.24543,https://www.yelp.com/biz/boba-hut-and-deli-vista?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Tapioca Express,33.18173947,-117.3316887,https://www.yelp.com/biz/tapioca-express-oceanside?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
Beachin' Boba,33.13157,-117.22549,https://www.yelp.com/biz/beachin-boba-san-marcos-2?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
"Wahine Kai Shave Ice, Kona Coffee and Tea Station",32.93596419,-117.1012706,https://www.yelp.com/biz/wahine-kai-shave-ice-kona-coffee-and-tea-station-san-diego-12?adjust_creative=9tGzrAS-V4DQXnxOLwIumQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9tGzrAS-V4DQXnxOLwIumQ
